Timestamp,Age,Gender,Highest Education Level,Preferred Subjects in Highschool/College,Academic Performance (CGPA/Percentage),Participation in Extracurricular Activities,Previous Work Experience (If Any),Preferred Work Environment,Risk-Taking Ability ,Leadership Experience,Networking & Social Skills,Tech-Savviness,Financial Stability - self/family (1 is low income and 10 is high income),Motivation for Career Choice ,Favorite Color,Daily Water Intake (in Litres) ,Birth Month ,Preferred Music Genre,Number of Siblings,What would you like to become when you grow up
35:01.0,19,Female,Under Graduate,Science,7.5,Culturals,,Research,9,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,6,Money,Blue,4,July,Classical,1,Research/Scientist
35:02.8,19,Female,Under Graduate,Science,9.18,Sports,,Research,9,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,6,Money,Blue,4litre ,June,Classical,1,Research/Scientist
35:09.8,20,Male,Under Graduate,Science,9,Sports,Part Time,Freelance,9,Student Council Member,Attended Conferences,Comfortable using newly launched technologies,5,Passion,Pink,4,October,Rock,1,Entrepreneur
35:35.7,18,Female,Under Graduate,Commerce,70,,,Startup,7,,,Comfortable using newly launched technologies,5,Passion,Purple,3,July,Pop,0,Government Officer
36:36.3,19,Female,Under Graduate,Science,9.7,,,Corporate Job,10,Student Council Member,,Comfortable using newly launched technologies,2,Social Impact,Black,3,November,Classical,1,Government Officer
37:27.8,19,Male,Under Graduate,Science,8.26,Sports,Part Time,Startup,7,,Attended Buisness meets,Comfortable using newly launched technologies,7,Social Impact,Green,4,May,Rock,0,Entrepreneur
38:00.9,18,Male,Under Graduate,Commerce,0.83,,,Startup,10,,,Good Coding knowledge,10,Money,Orange,3,February,Rap,1,
38:08.7,21,Female,Under Graduate,Science,8.3,Sports,Internship,Startup,7,,Attended Conferences,Comfortable using newly launched technologies,6,Social Impact,Blue,3,November,Rock,0,Entrepreneur
38:24.5,20,Female,Under Graduate,Science,2nd Sem- 9 cgpa,Sports,,Freelance,9,,Attended Conferences,Comfortable using newly launched technologies,7,Work-life Balance,Pink,4 L,November,Pop,0,Entrepreneur
41:36.2,18,Male,Under Graduate,Science,0.49,Sports,,Freelance,9,,,Can efficiently work with AI tools,2,Passion,Blue,4,December,Pop,1,Freelancer
43:08.2,18,Male,Under Graduate,Commerce,0.66,Sports,,Freelance,10,Student Council Member,,Can efficiently work with AI tools,7,Social Impact,White,4 litres,February,Classical,1,Government Officer
07:06.4,17,Female,High School,Science,0.89,,,Freelance,4,,,Good Coding knowledge,4,Freedom,Black,5,November,Classical,1,Research/Scientist
23:28.6,16,Male,High School,Commerce,0.87,,,Corporate Job,7,,,Can efficiently work with AI tools,6,Passion,Yellow,5 litres ,October,Rock,One,Entrepreneur
57:17.7,17,Female,High School,Science,0.72,Culturals,Part Time,Freelance,10,Event Management,Attended Corporate events,Comfortable using newly launched technologies,2,Work-life Balance,White,3to 5 litre,September,Classical,4,Government Officer
27:53.1,17,Female,Under Graduate,Commerce,0.9,Culturals,,Freelance,2,,,Can efficiently work with AI tools,6,Work-life Balance,Blue,3 liters ,August,Rock,2,Corporate Employee
57:26.0,16 (2008),Female,High School,Commerce,0.7,Culturals,,Freelance,8,Student Council Member,,Comfortable using newly launched technologies,6,Passion,Blue,4 to 5,November,Pop,2,Government Officer
18:31.7,17,Female,High School,Science,87,Culturals,,Research,9,Event Management,,Comfortable using newly launched technologies,8,Social Impact,Black,6 litres,June,Classical,1,Research/Scientist
